season,hometeam,awayteam,homegoals,awaygoals
2019/2020,Bayern Munich,Leverkusen,1,2
2019/2020,M'gladbach,Freiburg,4,2
2019/2020,Wolfsburg,Werder Bremen,2,3
2019/2020,Mainz,Ein Frankfurt,2,1
2019/2020,Ein Frankfurt,Hertha,2,2
2019/2020,Augsburg,Mainz,2,1
2019/2020,Dortmund,Fortuna Dusseldorf,5,0
2019/2020,Freiburg,Wolfsburg,1,0
2019/2020,M'gladbach,Bayern Munich,2,1
2019/2020,RB Leipzig,Hoffenheim,3,1
2019/2020,Leverkusen,Schalke 04,2,1
2019/2020,Union Berlin,FC Koln,2,0
2019/2020,Werder Bremen,Paderborn,0,1
2019/2020,Hoffenheim,Augsburg,2,4
2019/2020,Bayern Munich,Werder Bremen,6,1
2019/2020,FC Koln,Leverkusen,2,0
2019/2020,Hertha,Freiburg,1,0
2019/2020,Mainz,Dortmund,0,4
2019/2020,Paderborn,Union Berlin,1,1
2019/2020,Fortuna Dusseldorf,RB Leipzig,0,3
2019/2020,Wolfsburg,M'gladbach,2,1
2019/2020,Schalke 04,Ein Frankfurt,1,0
2019/2020,Werder Bremen,Mainz,0,5
2019/2020,Augsburg,Fortuna Dusseldorf,3,0
2019/2020,Dortmund,RB Leipzig,3,3
2019/2020,Union Berlin,Hoffenheim,0,2
2019/2020,Leverkusen,Hertha,0,1
2019/2020,Ein Frankfurt,FC Koln,2,4
2019/2020,Freiburg,Bayern Munich,1,3
2019/2020,M'gladbach,Paderborn,2,0
2019/2020,Wolfsburg,Schalke 04,1,1
2019/2020,Hoffenheim,Dortmund,2,1
2019/2020,Bayern Munich,Wolfsburg,2,0
2019/2020,FC Koln,Werder Bremen,1,0
2019/2020,Mainz,Leverkusen,0,1
2019/2020,RB Leipzig,Augsburg,3,1
2019/2020,Schalke 04,Freiburg,2,2
2019/2020,Hertha,M'gladbach,0,0
2019/2020,Fortuna Dusseldorf,Union Berlin,2,1
2019/2020,Paderborn,Ein Frankfurt,2,1
2019/2020,Schalke 04,M'gladbach,2,0
2019/2020,Augsburg,Dortmund,3,5
2019/2020,FC Koln,Wolfsburg,3,1
2019/2020,Fortuna Dusseldorf,Werder Bremen,0,1
2019/2020,Hoffenheim,Ein Frankfurt,1,2
2019/2020,Mainz,Freiburg,1,2
2019/2020,RB Leipzig,Union Berlin,3,1
2019/2020,Hertha,Bayern Munich,0,4
2019/2020,Paderborn,Leverkusen,1,4
2019/2020,Dortmund,FC Koln,5,1
2019/2020,Ein Frankfurt,RB Leipzig,2,0
2019/2020,Freiburg,Paderborn,0,2
