season,hometeam,awayteam,homegoals,awaygoals
2019/2020,Chelsea,West Ham,0,1
2019/2020,Liverpool,Brighton,2,1
2019/2020,Tottenham,Bournemouth,3,2
2019/2020,Southampton,Watford,2,1
2019/2020,Norwich,Arsenal,2,2
2019/2020,Wolves,Sheffield United,1,1
2019/2020,Leicester,Everton,2,1
2019/2020,Man United,Aston Villa,2,2
2019/2020,Crystal Palace,Bournemouth,1,0
2019/2020,Burnley,Man City,1,4
2019/2020,Chelsea,Aston Villa,2,1
2019/2020,Leicester,Watford,2,0
2019/2020,Man United,Tottenham,2,1
2019/2020,Southampton,Norwich,2,1
2019/2020,Wolves,West Ham,2,0
2019/2020,Liverpool,Everton,5,2
2019/2020,Sheffield United,Newcastle,0,2
2019/2020,Arsenal,Brighton,1,2
2019/2020,Everton,Chelsea,3,1
2019/2020,Bournemouth,Liverpool,0,3
2019/2020,Tottenham,Burnley,5,0
2019/2020,Watford,Crystal Palace,0,0
2019/2020,Man City,Man United,1,2
2019/2020,Aston Villa,Leicester,1,4
2019/2020,Newcastle,Southampton,2,1
2019/2020,Norwich,Sheffield United,1,2
2019/2020,Brighton,Wolves,2,2
2019/2020,West Ham,Arsenal,1,3
2019/2020,Liverpool,Watford,2,0
2019/2020,Burnley,Newcastle,1,0
2019/2020,Chelsea,Bournemouth,0,1
2019/2020,Leicester,Norwich,1,1
2019/2020,Sheffield United,Aston Villa,2,0
2019/2020,Southampton,West Ham,0,1
2019/2020,Man United,Everton,1,1
2019/2020,Wolves,Tottenham,1,2
2019/2020,Arsenal,Man City,0,3
2019/2020,Crystal Palace,Brighton,1,1
2019/2020,Everton,Arsenal,0,0
2019/2020,Aston Villa,Southampton,1,3
2019/2020,Bournemouth,Burnley,0,1
2019/2020,Brighton,Sheffield United,0,1
2019/2020,Newcastle,Crystal Palace,1,0
2019/2020,Norwich,Wolves,1,2
2019/2020,Man City,Leicester,3,1
2019/2020,Watford,Man United,2,0
2019/2020,Tottenham,Chelsea,0,2
2019/2020,Tottenham,Brighton,2,1
2019/2020,Aston Villa,Norwich,1,0
2019/2020,Bournemouth,Arsenal,1,1
2019/2020,Chelsea,Southampton,0,2
2019/2020,Crystal Palace,West Ham,2,1
2019/2020,Everton,Burnley,1,0
2019/2020,Sheffield United,Watford,1,1
2019/2020,Man United,Newcastle,4,1
2019/2020,Leicester,Liverpool,0,4
2019/2020,Wolves,Man City,3,2
2019/2020,Brighton,Bournemouth,2,0
2019/2020,Newcastle,Everton,1,2
2019/2020,Southampton,Crystal Palace,1,1
2019/2020,Watford,Aston Villa,3,0
2019/2020,Norwich,Tottenham,2,2
2019/2020,West Ham,Leicester,1,2
2019/2020,Burnley,Man United,0,2
2019/2020,Arsenal,Chelsea,1,2
2019/2020,Liverpool,Wolves,1,0
2019/2020,Man City,Sheffield United,2,0
2019/2020,Brighton,Chelsea,1,1
2019/2020,Burnley,Aston Villa,1,2
2019/2020,Newcastle,Leicester,0,3
2019/2020,Southampton,Tottenham,1,0
2019/2020,Watford,Wolves,2,1
